Paper Title,Summary/Description,Link
Comparison of machine learning and deep learning models in manual strength prediction using anthropometric variables,"TabPFN contributed to predicting manual strength using anthropometric data, focusing on accuracy and interpretability",https://pubmed.ncbi.nlm.nih.gov/41021732/
Uncertainty-Guided Model Selection for Tabular Foundation Models in Biomolecule Efficacy Prediction,"TabPFN supported uncertainty-guided model selection for biomolecule efficacy prediction, enhancing ensemble optimization in drug discovery, as studied at GSK",https://www.arxiv.org/abs/2510.02476
A Multitask Deep Learning Framework for Clinical Decision-Making in Assisted Reproductive Technology,"TabPFN was utilized in a multitask deep learning framework for optimizing in vitro fertilization decisions, including embryo transfer and pregnancy prediction",https://dspace.mit.edu/handle/1721.1/162969
TACO: TabPFN Augmented Causal Outcomes for Early Detection of Long COVID,TabPFN enabled a framework for early Long COVID detection through causal gene identification and interpretability,https://www.medrxiv.org/content/10.1101/2025.10.02.25337138v1.full.pdf
Foundation Model-Based Recommendation of Optimal Neoadjuvant Therapy in Breast Cancer,"TabPFN was used for neoadjuvant therapy recommendations in breast cancer, integrating multi-omics data",https://www.medrxiv.org/content/10.1101/2025.10.03.25337255v1
Artificial intelligence for predicting post-excision recurrence and malignant progression in oral potentially malignant disorders: a retrospective cohort study,TabPFN facilitated prediction of recurrence and progression in oral potentially malignant disorder patients post-surgery,https://journals.lww.com/international-journal-of-surgery/abstract/9900/artificial_intelligence_for_predicting.3354.aspx
Vision-Language AI Model for Detecting PET/CT-Occult Lymph Node       Metastasis in Early-Stage NSCLC Treated with SABR to Prevent       Regional Recurrence,TabPFN supported prediction of occult lymph node metastasis in non-small cell lung cancer patients treated with stereotactic ablative radiotherapy,https://www.redjournal.org/article/S0360-3016(25)05890-0/fulltext
Diagnosing Patient Stroke Status Using Modern AI After Dataset Balancing: A Comprehensive Comparative Study,"TabPFN was used in stroke diagnosis, addressing dataset imbalance and model interpretability for clinical decisions",https://www.ijsab.com/jsr-volume-9-issue-1/8205
Development of Machine Learning Models to Predict Hypoglycemia and       Hyperglycemia on Days of Hemodialysis in Patients with Diabetes       based on Continuous Glucose Monitoring,"TabPFN was used to predict diabetes-related hypo- and hyperglycemia during hemodialysis using continuous glucose monitoring data, facilitating improved patient management",https://www.medrxiv.org/content/10.1101/2025.10.24.25338707v1
Multimodal model enhances qualitative diagnosis of hypervascular thyroid nodules: integrating radiomics and deep learning features based on B-mode and PDI images,TabPFN was applied to enhance diagnosis of hypervascular thyroid nodules using multimodal ultrasound features,https://pmc.ncbi.nlm.nih.gov/articles/PMC12432950/
Radiomics enhance the prediction of endovascular treatment success for femoropopliteal chronic total occlusions: a proof-of-concept study,"TabPFN was integrated with radiomics and clinical features to predict endovascular treatment success in femoropopliteal chronic total occlusions, supporting interventional planning",https://www.researchgate.net/publication/396892115_Radiomics_enhance_the_prediction_of_endovascular_treatment_success_for_femoropopliteal_chronic_total_occlusions_a_proof-of-concept_study
Corvis\textsuperscriptST biomechanical indices in the diagnosis of corneal stromal and endothelial disorders: an artificial intelligence-based comparative study,"TabPFN was applied to CorvisST biomechanical indices to classify corneal disorders, improving diagnostic accuracy in ophthalmology",https://pubmed.ncbi.nlm.nih.gov/41130662/
Estimating Sleep-Stage Distribution from Respiratory Sounds via Deep Audio Segmentation,"TabPFN was incorporated into a non-invasive sleep staging framework using respiratory sound features, advancing passive sleep monitoring",https://www.mdpi.com/1424-8220/25/20/6282
Construction of machine learning classification prediction model for vancomycin blood concentrations based on MIMIC-IV database,TabPFN supported prediction of vancomycin blood concentrations to optimize antimicrobial dosing strategies in clinical practice,https://journal.china-pharmacy.com/en/article/doi/10.6039/j.issn.1001-0408.2025.19.16/
Predicting negative self-rated oral health in adults using machine learning: A longitudinal study in Southern Brazil,"TabPFN was used to predict negative self-rated oral health in adults, identifying risk factors for targeted public-health interventions",https://www.sciencedirect.com/science/article/pii/S0300571225006104
TabPFN-Wide: Continued Pre-Training for Extreme Feature Counts,"TabPFN was extended to very high-dimensional feature spaces to enable robust analysis of biomedical data, improving stability and interpretability in clinical applications",https://arxiv.org/abs/2510.06162
"Risk prediction for gastrointestinal bleeding in pediatric Henoch--Sch\""onlein purpura using an interpretable transformer model","TabPFN predicted gastrointestinal bleeding risk in pediatric Henoch–Schönlein purpura patients, supporting early clinical intervention",https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2025.1630807/full
